danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,title
0.728,0.628,0,-9.798,1,0.0392,0.00168,0.817,0.0867,0.549,123.997,387827,4,techhouse,tech house
0.704,0.986,8,-4.781,0,0.0831,0.00121,0.751,0.551,0.124,126.984,193000,4,techhouse,Beatoirt Best New Tech House
0.841,0.903,10,-7.142,0,0.0692,0.000813,0.559,0.0407,0.777,124.967,202138,4,techhouse,Tech House
0.856,0.895,6,-3.908,0,0.0692,0.0101,0.0975,0.0696,0.634,125.952,199996,4,techhouse,tech house
0.543,0.982,7,-6.642,1,0.0767,0.000112,0.564,0.0666,0.357,126.012,388571,4,techhouse,Dirtybird Players
0.905,0.579,5,-9.104,1,0.0865,0.000218,0.116,0.0867,0.605,123.999,373033,4,techhouse,Dirtybird Players
0.77,0.898,11,-5.584,1,0.0787,0.00888,0.0945,0.429,0.787,126.001,217143,4,techhouse,Dirtybird Players
0.807,0.691,10,-7.126,0,0.0563,0.000529,0.505,0.0795,0.732,127.018,383235,4,techhouse,Tech house
0.857,0.864,11,-6.496,0,0.0745,0.000819,0.912,0.0534,0.596,126.018,427674,4,techhouse,blanc | Tech House
0.803,0.809,0,-6.686,1,0.0606,4.46E-05,0.396,0.0597,0.266,124.994,491629,4,techhouse,Dirtybird Players
0.737,0.943,7,-7.352,1,0.0552,0.00178,0.888,0.0681,0.432,124.985,407050,4,techhouse,Tech House Rotation 2020
0.594,0.942,2,-6.531,1,0.061,0.0251,0.935,0.342,0.463,122.998,222804,4,techhouse,blanc | Tech House
0.689,0.965,4,-9.625,0,0.0545,0.0589,0.729,0.0602,0.904,124,209274,4,techhouse,Dirtybird Players
0.845,0.938,9,-5.891,0,0.0502,0.00306,0.855,0.0896,0.755,127.007,371811,4,techhouse,Tech House
0.808,0.595,11,-10.795,0,0.0563,8.69E-05,0.883,0.0837,0.811,126.017,430750,4,techhouse,Tech House 2020
0.823,0.903,6,-6.71,0,0.0501,0.000167,0.761,0.104,0.546,127.013,215433,4,techhouse,Dirtybird Players
0.664,0.926,1,-5.519,0,0.0456,0.000917,0.244,0.0781,0.711,125.002,211200,4,techhouse,tech house
0.889,0.503,1,-9.656,1,0.0605,0.00878,0.839,0.0898,0.325,123.989,359032,4,techhouse,Dirtybird Players
0.533,0.844,11,-5.04,0,0.0302,0.00529,8.91E-05,0.0722,0.712,123.971,186493,4,techhouse,Tech house
0.832,0.834,9,-6.16,1,0.0689,0.00117,0.218,0.0407,0.911,128,365625,4,techhouse,tech house
0.707,0.902,2,-6.082,1,0.116,0.032,0.656,0.252,0.232,124.97,176660,4,techhouse,Tech House 2020 - Best of Techno
0.847,0.75,7,-7.811,1,0.074,0.0526,0.924,0.0886,0.375,125.992,339317,4,techhouse,Dirtybird//Techhouse by Mack\
0.79,0.794,6,-11.56,0,0.081,0.00193,0.812,0.075,0.717,124.002,390968,4,techhouse,Tech House Elrow Secrets
0.817,0.647,1,-7.717,1,0.0925,0.00991,0.571,0.0662,0.781,123.023,343655,4,techhouse,Dirtybird//Techhouse by Mack\
0.798,0.719,7,-8.923,1,0.0628,0.000383,0.887,0.0558,0.136,126.007,370000,4,techhouse,Dirtybird//Techhouse by Mack\
0.785,0.894,11,-7.408,1,0.0388,6.60E-05,0.9,0.116,0.782,124.986,406080,4,techhouse,tech house
0.552,0.793,0,-8.539,1,0.0327,0.00641,0.818,0.0877,0.0376,122.014,301967,4,techhouse,Tech House 2020
0.743,0.935,10,-5.37,1,0.0421,0.0002,0.85,0.0542,0.151,124.996,372500,4,techhouse,Dirtybird//Techhouse by Mack\
0.78,0.515,11,-8.129,1,0.0438,0.000925,0.00448,0.0814,0.896,125.004,345700,4,techhouse,Dirtybird House
0.795,0.921,11,-8.256,1,0.0827,0.000382,0.761,0.0757,0.547,125.031,199901,4,techhouse,Tech House Elrow Secrets
0.803,0.997,9,-5.64,0,0.0589,0.0083,0.9,0.207,0.835,125.001,328320,4,techhouse,Dirtybird//Techhouse by Mack\
0.819,0.669,7,-8.602,1,0.233,0.00816,0.72,0.556,0.691,124.006,394843,4,techhouse,Dirtybird House
0.808,0.97,8,-7.098,0,0.0555,0.00297,0.887,0.0298,0.794,124.998,342040,4,techhouse,Dirtybird//Techhouse by Mack\
0.736,0.912,5,-4.344,1,0.0799,0.000192,0.87,0.0642,0.244,125.016,186479,4,techhouse,Tech House Club
0.792,0.908,7,-8.945,1,0.0645,0.00851,0.512,0.322,0.729,129.005,416783,4,techhouse,Beatoirt Best New Tech House
0.841,0.738,9,-6.267,1,0.0585,0.00101,0.106,0.221,0.754,124.989,188220,4,techhouse,Dirtybird//Techhouse by Mack\
0.851,0.904,2,-9.654,1,0.0582,0.00182,0.924,0.112,0.26,126.992,313701,4,techhouse,Tech house
0.805,0.676,2,-9.927,1,0.0575,0.00073,0.939,0.093,0.186,125.001,414720,3,techhouse,Dirtybird//Techhouse by Mack\
0.862,0.558,9,-8.683,1,0.0863,0.000624,0.00185,0.0317,0.452,127.005,364250,4,techhouse,tech house
0.622,0.859,5,-7.626,1,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373,4,techhouse,tech house
0.577,0.924,9,-6.413,1,0.041,0.000351,0.884,0.0443,0.0952,123.001,413659,4,techhouse,Tech House 2020 - Best of Techno
0.8,0.805,1,-5.303,1,0.0617,0.000233,0.878,0.0686,0.359,125.004,230597,4,techhouse,Dirtybird Players
0.738,0.968,11,-3.1,0,0.0894,0.00103,0.346,0.269,0.856,125.031,198720,4,techhouse,Tech House 2020 - Best of Techno
0.772,0.94,7,-5.227,0,0.0692,0.00977,0.000473,0.366,0.545,124.009,220161,4,techhouse,Tech House Top 50
0.801,0.858,2,-6.521,1,0.0546,0.000501,0.883,0.093,0.638,124.99,185280,4,techhouse,Tech House Top 50
0.79,0.991,5,-6.035,0,0.0693,8.30E-05,0.861,0.274,0.562,123.988,363872,4,techhouse,Tech house
0.852,0.921,2,-4.055,1,0.188,0.0267,0.000481,0.377,0.498,126.018,207619,4,techhouse,Dirtybird Players
0.792,0.978,1,-8.062,1,0.0621,0.00108,0.838,0.029,0.678,125.006,403200,4,techhouse,Beatoirt Best New Tech House
